"","director","movies","years","gross","rating"
"1483","Jeff Tremaine","The Grand Budapest HotelåÊ",2014,59073773,8.1
"1486","Jeff Wadlow","FrequencyåÊ",2000,44983704,7.3
"1490","Jennifer Yuh Nelson","ChicagoåÊ",2002,170684505,7.2
"1493","Jeremy Saulnier","Toy StoryåÊ",1995,191796233,8.3
"1494","Jeremy Saulnier","SpeedåÊ",1994,121248145,7.2
"1497","Jerry Jameson","Remember the TitansåÊ",2000,115648585,7.8
"1498","Jerry Zaks","The Hunt for Red OctoberåÊ",1990,122012643,7.6
"1499","Jerry Zucker","Lee Daniels' The ButleråÊ",2013,116631310,7.2
"1505","Jesse Peretz","Se7enåÊ",1995,100125340,8.6
"1506","Jesse Vaughan","District 9åÊ",2009,115646235,8
"1508","Jessie Nelson","Mystic RiveråÊ",2003,90135191,8
"1509","Jessy Terrero","Million Dollar BabyåÊ",2004,100422786,8.1
"1511","Jill Sprecher","The NotebookåÊ",2004,64286,7.9
"1516","Jim Goddard","Legends of the FallåÊ",1994,66528842,7.5
"1517","Jim Hanon","Up in the AiråÊ",2009,83813460,7.4
"1518","Jim Mickle","About SchmidtåÊ",2002,65010106,7.2
"1520","Jim Sheridan","LooperåÊ",2012,66468315,7.4
"1524","Jimmy Hayward","Forgetting Sarah MarshallåÊ",2008,62877175,7.2
"1531","Jodie Foster","Midnight in ParisåÊ",2011,56816662,7.7
"1533","Joe Berlinger","BlowåÊ",2001,52937130,7.6
"1539","Joe Charbanic","The Curse of the Were-RabbitåÊ",2005,56068547,7.5
"1540","Joe Cornish","P.S. I Love YouåÊ",2007,53680848,7.1
"1541","Joe Dante","AtonementåÊ",2007,50921738,7.8
"1544","Joe Dante","Corpse BrideåÊ",2005,53337608,7.4
"1545","Joe Dante","SicarioåÊ",2015,46875468,7.6
"1546","Joe Dante","SouthpawåÊ",2015,52418902,7.5
"1548","Joe Johnston","The Age of AdalineåÊ",2015,42478175,7.2
"1549","Joe Johnston","Secondhand LionsåÊ",2003,41407470,7.6
"1552","Joe Nussbaum","Stranger Than FictionåÊ",2006,40137776,7.6
"1556","Joe Roth","Midnight RunåÊ",1988,38413606,7.6
"1566","Joel Coen","9åÊ",2009,31743332,7.1
"1567","Joel Coen","Side EffectsåÊ",2013,32154410,7.1
"1568","Joel Coen","Winnie the PoohåÊ",2011,26687172,7.3
"1580","Joel Schumacher","The Next Three DaysåÊ",2010,21129348,7.4
"1588","John A. Davis","North CountryåÊ",2005,18324242,7.3
"1609","John Carpenter","GloryåÊ",1989,26830000,7.9
"1610","John Carpenter","Once Upon a Time in AmericaåÊ",1984,5300000,8.4
"1612","John Cornell","The Merchant of VeniceåÊ",2004,3752725,7.1
"1617","John Dahl","The Assassination of Jesse James by the Coward Robert FordåÊ",2007,3904982,7.5
"1621","John Eng","Walk the LineåÊ",2005,119518352,7.9
"1624","John Erick Dowdle","Frost/NixonåÊ",2008,18593156,7.7
"1627","John Francis Daley","Cry FreedomåÊ",1987,5899797,7.5
"1630","John Frankenheimer","The JacketåÊ",2005,6301131,7.1
"1631","John G. Avildsen","AladdinåÊ",1992,217350219,8
"1632","John G. Avildsen","Straight Outta ComptonåÊ",2015,161029270,7.9
"1633","John G. Avildsen","Indiana Jones and the Temple of DoomåÊ",1984,179870271,7.6
"1637","John Glen","Die HardåÊ",1988,81350242,8.2
"1639","John Glen","The Big ShortåÊ",2015,70235322,7.8
"1641","John Hamburg","MiracleåÊ",2004,64371181,7.5
"1642","John Hamburg","Dawn of the DeadåÊ",2004,58885635,7.4
"1644","John Herzfeld","The Royal TenenbaumsåÊ",2001,52353636,7.6
"1645","John Hillcoat","IdentityåÊ",2003,51475962,7.3
"1654","John Lasseter","Kick-AssåÊ",2010,48043505,7.7
"1658","John Lee Hancock","Pride & PrejudiceåÊ",2005,38372662,7.8
"1659","John Lee Hancock","Blade RunneråÊ",1982,27000000,8.2
"1677","John McTiernan","My Sister's KeeperåÊ",2009,49185998,7.4
"1679","John McTiernan","A Passage to IndiaåÊ",1984,26400000,7.4
"1680","John McTiernan","Notes on a ScandalåÊ",2006,17508670,7.4
"1682","John Michael McDonagh","Star Trek VI: The Undiscovered CountryåÊ",1991,74888996,7.2
"1684","John Milius","The Jungle BookåÊ",2016,362645141,7.8
"1686","John Moore","The Blues BrothersåÊ",1980,54200000,7.9
"1688","John Moore","About a BoyåÊ",2002,40566655,7.1
"1690","John Ottman","Lucky Number SlevinåÊ",2006,22494487,7.8
"1691","John Pasquin","The Right StuffåÊ",1983,21500000,7.9
"1693","John Pasquin","Dark CityåÊ",1998,14337579,7.7
"1708","John Singleton","The 40-Year-Old VirginåÊ",2005,109243478,7.1
"1709","John Singleton","Shakespeare in LoveåÊ",1998,100241322,7.2
"1714","John Singleton","Open RangeåÊ",2003,58328680,7.5
"1716","John Stockwell","A Bridge Too FaråÊ",1977,50800000,7.4
"1719","John Waters","O Brother, Where Art Thou?åÊ",2000,45506619,7.8
"1724","John Whitesell","SilveradoåÊ",1985,33200000,7.2
"1725","John Whitesell","BrothersåÊ",2009,28501651,7.1
"1736","Jon Amiel","The Constant GardeneråÊ",2005,33565375,7.5
"1737","Jon Amiel","The Passion of the ChriståÊ",2004,499263,7.1
"1739","Jon Amiel","Rain ManåÊ",1988,172825435,8
"1740","Jon Avnet","Gran TorinoåÊ",2008,148085755,8.2
"1742","Jon Avnet","TakenåÊ",2008,145000989,7.9
"1745","Jon Favreau","Schindler's ListåÊ",1993,96067179,8.9
"1746","Jon Favreau","The HelpåÊ",2011,169705587,8.1
"1753","Jon Hurwitz","The UntouchablesåÊ",1987,76270454,7.9
"1754","Jon Hurwitz","No Country for Old MenåÊ",2007,74273505,8.1
"1757","Jon M. Chu","ChocolatåÊ",2000,71309760,7.3
"1761","Jon M. Chu","TombstoneåÊ",1993,56505065,7.8
"1765","Jon Turteltaub","Bridge to TerabithiaåÊ",2007,82234139,7.2
"1766","Jon Turteltaub","Finding NeverlandåÊ",2004,51676606,7.8
"1770","Jon Turteltaub","Anchorman: The Legend of Ron BurgundyåÊ",2004,84136909,7.2
"1771","Jon Turteltaub","GoodfellasåÊ",1990,46836394,8.7
"1774","Jonathan Caouette","ScarfaceåÊ",1983,44700000,8.3
"1776","Jonathan Demme","The Last EmperoråÊ",1987,43984230,7.8
"1779","Jonathan Demme","There Will Be BloodåÊ",2007,40218903,8.1
"1792","Jonathan Liebesman","The HoursåÊ",2002,41597830,7.6
"1797","Jonathan Lynn","August RushåÊ",2007,31655091,7.5
"1798","Jonathan Lynn","ElizabethåÊ",1998,30012990,7.5
"1800","Jonathan Lynn","Tora! Tora! Tora!åÊ",1970,14500000,7.5
"1803","Jonathan Mostow","The Shawshank RedemptionåÊ",1994,28341469,9.3
"1807","Joon-ho Bong","August: Osage CountyåÊ",2013,37738400,7.3
"1809","Jorge Blanco","Eddie the EagleåÊ",2016,15785632,7.5
"1815","Joseph Gordon-Levitt","Punch-Drunk LoveåÊ",2002,17791031,7.3
"1830","Josh Trank","Angela's AshesåÊ",1999,13038660,7.3
"1833","Joshua Oppenheimer","Lords of DogtownåÊ",2005,11008432,7.1
"1835","Joshua Tickell","Big Trouble in Little ChinaåÊ",1986,11100000,7.3
"1836","JosÌ© Padilha","WarrioråÊ",2011,13651662,8.2
"1837","JosÌ© Padilha","Michael CollinsåÊ",1996,11030963,7.1
"1838","JosÌ© Padilha","GettysburgåÊ",1993,10769960,7.7
"1847","Judd Apatow","The RoadåÊ",2009,56692,7.3
"1850","Julian Jarrold","The World's Fastest IndianåÊ",2005,5128124,7.9
"1857","Julie Taymor","Without LimitsåÊ",1998,777423,7.2
"1859","Jun Falkenstein","The Best OfferåÊ",2013,85433,7.8
"1861","Justin Chadwick","Little White LiesåÊ",2010,183662,7.1
"1865","Justin Lin","Dangerous LiaisonsåÊ",1988,34700000,7.7
"1867","Justin Lin","Star Trek IV: The Voyage HomeåÊ",1986,109713132,7.3
"1868","Justin Zackham","Rocky BalboaåÊ",2006,70269171,7.2
"1875","Karen Moncrieff","Old SchoolåÊ",2003,74608545,7.2
"1876","Karey Kirkpatrick","The Fisher KingåÊ",1991,41895491,7.6
"1883","Katherine Dieckmann","Girl, InterruptedåÊ",1999,28871190,7.3
"1892","Keenen Ivory Wayans","The Princess and the CobbleråÊ",1993,669276,7.2
"1895","Keith Gordon","Howl's Moving CastleåÊ",2004,4710455,8.2
"1896","Kelly Asbury","ZombielandåÊ",2009,75590286,7.7
"1897","Kelly Makin","King KongåÊ",2005,218051260,7.2
"1899","Kelly Reichardt","Star Wars: Episode V - The Empire Strikes BackåÊ",1980,290158751,8.8
"1903","Ken Kwapis","The Ides of MarchåÊ",2011,40962534,7.1
"1904","Ken Scott","Pitch BlackåÊ",2000,39235088,7.1
"1906","Kenneth Branagh","HeråÊ",2013,25556065,8
"1907","Kenneth Branagh","Eddie the EagleåÊ",2016,15785632,7.5
"1917","Kenny Ortega","The End of the AffairåÊ",1999,10660147,7.2
"1923","Kevin Allen","SpaceballsåÊ",1987,38119483,7.1
"1924","Kevin Bray","The Water DivineråÊ",2014,4190530,7.1
"1926","Kevin Brodie","There's Something About MaryåÊ",1998,176483808,7.1
"1930","Kevin Donovan","The Bridges of Madison CountyåÊ",1995,70960517,7.5
"1932","Kevin Greutert","The Hundred-Foot JourneyåÊ",2014,54235441,7.3
"1934","Kevin Jordan","I Am SamåÊ",2001,40270895,7.6
"1939","Kevin Munroe","ShadowlandsåÊ",1993,25842000,7.4
"1959","Kevin Spacey","Black BookåÊ",2006,4398392,7.8
"1960","Kevin Tancharoen","Joyeux NoelåÊ",2005,1050445,7.8
"1965","Kimberly Peirce","MoliÌ¬reåÊ",2007,634277,7.3
"1967","Kimberly Peirce","Michael ClaytonåÊ",2007,49024969,7.3
"1969","King Vidor","Arlington RoadåÊ",1999,24362501,7.2
"1972","Kirk De Micco","South Park: Bigger Longer & UncutåÊ",1999,52008288,7.8
"1973","Kirk Jones","Death at a FuneralåÊ",2007,8579684,7.4
"1976","Kirk Jones","Silver Linings PlaybookåÊ",2012,132088910,7.8
"1977","Kirk Jones","Freedom WritersåÊ",2007,36581633,7.5
"1981","Klaus Menzel","Away We GoåÊ",2009,9430988,7.1
"1984","Kurt Wimmer","Tinker Tailor Soldier SpyåÊ",2011,24104113,7.1
"1989","Lana Wachowski","Raiders of the Lost ArkåÊ",1981,242374454,8.5
"1991","Lana Wachowski","Close Encounters of the Third KindåÊ",1977,128300000,7.7
"1995","Lance Mungia","The Silence of the LambsåÊ",1991,130727000,8.6
"1997","Larry Charles","Jackass 3DåÊ",2010,117224271,7.1
"2000","Larry Charles","The ConjuringåÊ",2013,137387272,7.5
"2004","Lars von Trier","School of RockåÊ",2003,81257845,7.1
"2008","Lasse HallstrÌ¦m","The DescendantsåÊ",2011,82624961,7.3
"2009","Lasse HallstrÌ¦m","HolesåÊ",2003,67325559,7.1
"2011","Lasse HallstrÌ¦m","12 Years a SlaveåÊ",2013,56667870,8.1
"2014","Lawrence Guterman","Edward ScissorhandsåÊ",1990,56362352,7.9
"2015","Lawrence Guterman","Me Before YouåÊ",2016,56154094,7.6
"2019","Lawrence Kasdan","SelmaåÊ",2014,52066000,7.5
"2027","Lee Toland Krieger","SpotlightåÊ",2015,44988180,8.1
"2036","Leonard Nimoy","BabelåÊ",2006,34300771,7.5
"2038","Leonard Nimoy","DoubtåÊ",2008,33422556,7.5
"2039","Les Mayfield","Team America: World PoliceåÊ",2004,32774834,7.2
"2043","Les Mayfield","MilkåÊ",2008,31838002,7.6
"2049","Lewis Gilbert","High FidelityåÊ",2000,27277055,7.6
"2052","Lisa Cholodenko","The Bank JobåÊ",2008,30028592,7.3
"2053","Liz Friedlander","Eternal Sunshine of the Spotless MindåÊ",2004,34126138,8.3
"2068","Luc Besson","PsychoåÊ",1960,32000000,8.5
"2074","Lucio Fulci","Reign Over MeåÊ",2007,19661987,7.5
"2075","Lucky McKee","Into the WildåÊ",2007,18352454,8.2
"2078","Luis Llosa","From Dusk Till DawnåÊ",1996,25753840,7.3
"2081","Luis Valdez","Kung Fu HustleåÊ",2004,17104669,7.8
"2083","Luke Greenfield","The Kite RunneråÊ",2007,15797907,7.6
"2084","Luke Greenfield","21 GramsåÊ",2003,16248701,7.7
"2097","Maggie Greenwald","Bullets Over BroadwayåÊ",1994,13383737,7.5
"2099","Malcolm D. Lee","The Quiet AmericanåÊ",2002,12987647,7.1
"2104","Mamoru Hosoda","Let Me InåÊ",2010,12134420,7.2
"2107","Marc Forby","Mrs Henderson PresentsåÊ",2005,11034436,7.1
"2109","Marc Forster","Deconstructing HarryåÊ",1997,10569071,7.4
"2114","Marc Forster","Death at a FuneralåÊ",2007,8579684,7.4
"2116","Marc Lawrence","Everybody's FineåÊ",2009,8855646,7.2
"2128","Maria Maggenti","Topsy-TurvyåÊ",1999,6201757,7.4
"2129","Marielle Heller","Little BoyåÊ",2015,6420319,7.4
"2131","Mark Andrews","A Scanner DarklyåÊ",2006,5480996,7.1
"2132","Mark Brown","Chasing MavericksåÊ",2012,6002756,7.2
"2141","Mark L. Lester","Synecdoche, New YorkåÊ",2008,3081925,7.5
"2142","Mark L. Lester","Princess MononokeåÊ",1997,2298191,8.4
"2145","Mark Neveldine","The PropositionåÊ",2005,1900725,7.4
"2148","Mark Neveldine","EquilibriumåÊ",2002,1190018,7.5
"2149","Mark Osborne","The Children of Huang ShiåÊ",2008,1027749,7.1
"2159","Mark Sandrich","The Painted VeilåÊ",2006,8047690,7.5
"2160","Mark Steven Johnson","The Baader Meinhof ComplexåÊ",2008,476270,7.4
"2161","Mark Steven Johnson","Dances with WolvesåÊ",1990,184208848,8
"2165","Mark Waters","ScreamåÊ",1996,103001286,7.2
"2167","Mark Waters","Back to the FutureåÊ",1985,210609762,8.5
"2172","Martin Brest","The Devil's DoubleåÊ",2011,1357042,7.1
"2175","Martin Campbell","Spirited AwayåÊ",2001,10049886,8.6
"2177","Martin Campbell","The Book ThiefåÊ",2013,21483154,7.6
"2184","Martin Koolhoven","Adaptation.åÊ",2002,22245861,7.7
"2186","Martin McDonagh","Fear and Loathing in Las VegasåÊ",1998,10562387,7.7
"2190","Martin Scorsese","BigåÊ",1988,114968774,7.3
"2191","Martin Scorsese","Borat: Cultural Learnings of America for Make Benefit Glorious Nation of KazakhstanåÊ",2006,128505958,7.3
"2199","Martin Scorsese","Bad SantaåÊ",2003,60057639,7.1
"2203","Martin Scorsese","PredatoråÊ",1987,59735548,7.8
"2204","Martin Weisz","AmadeusåÊ",1984,51600000,8.3
"2208","Mary McGuckian","Gosford ParkåÊ",2001,41300105,7.3
"2210","Mathieu Kassovitz","Birdman or (The Unexpected Virtue of Ignorance)åÊ",2014,42335698,7.8
"2211","Mathieu Kassovitz","Blue JasmineåÊ",2013,33404871,7.3
"2212","Matt Bettinelli-Olpin","United 93åÊ",2006,31471430,7.6
"2214","Matt Maiellaro","GloryåÊ",1989,26830000,7.9
"2217","Matt Reeves","Soul SurferåÊ",2011,43853424,7.1
"2220","Matthew O'Callaghan","Raging BullåÊ",1980,45250,8.3
"2224","Matthew Vaughn","127 HoursåÊ",2010,18329466,7.6
"2229","Max FÌ_rberbÌ¦ck","Life as a HouseåÊ",2001,15561627,7.5
"2230","Max Joseph","Steve JobsåÊ",2015,17750583,7.2
"2236","McG","The Ice StormåÊ",1997,7837632,7.5
"2239","Mel Brooks","Being JuliaåÊ",2004,7739049,7.1
"2243","Mel Gibson","Ed WoodåÊ",1994,5887457,7.9
"2245","Melvin Van Peebles","Mongol: The Rise of Genghis KhanåÊ",2007,5701643,7.3
"2246","Mennan Yapo","RocknRollaåÊ",2008,5694401,7.3
"2248","MÌ´ns MÌ´rlind","HamletåÊ",1996,4414535,7.8
"2251","Michael Apted","The Railway ManåÊ",2013,4435083,7.1
"2252","Michael Apted","The White RibbonåÊ",2009,2222647,7.8
"2254","Michael Apted","The Salton SeaåÊ",2002,676698,7.2
"2257","Michael Bay","SuperbadåÊ",2007,121463226,7.6
"2260","Michael Bay","Hotel RwandaåÊ",2004,23472900,8.1
"2264","Michael Bay","The OthersåÊ",2001,96471845,7.6
"2265","Michael Bay","AliensåÊ",1986,85200000,8.4
"2266","Michael Bay","My Fair LadyåÊ",1964,72000000,7.9
"2269","Michael Caton-Jones","SidewaysåÊ",2004,71502303,7.5
"2271","Michael Caton-Jones","HalloweenåÊ",1978,47000000,7.9
"2272","Michael Caton-Jones","HeroåÊ",2002,84961,7.9
"2283","Michael Dougherty","McFarland, USAåÊ",2015,44469602,7.4
"2284","Michael Dowse","Pitch PerfectåÊ",2012,64998368,7.2
"2286","Michael Haneke","A Simple PlanåÊ",1998,16311763,7.5
"2295","Michael Lehmann","Running ScaredåÊ",2006,6855137,7.4
"2297","Michael Lembeck","The IllusioniståÊ",2006,39825798,7.6
"2304","Michael Mann","The IllusioniståÊ",2006,39825798,7.6
"2305","Michael Martin","Wall StreetåÊ",1987,43848100,7.4
"2306","Michael Mayer","Sense and SensibilityåÊ",1995,42700000,7.7
"2307","Michael Mayer","Becoming JaneåÊ",2007,18663911,7.1
"2309","Michael McGowan","House of Sand and FogåÊ",2003,13005485,7.6
"2310","Michael Meredith","Dead Poets SocietyåÊ",1989,95860116,8
"2311","Michael Moore","Dumb & DumberåÊ",1994,127175354,7.3
"2312","Michael Moore","When Harry Met Sally...åÊ",1989,92823600,7.6
"2313","Michael Moore","The VerdictåÊ",1982,54000000,7.8
"2316","Michael Patrick Jann","The ArtiståÊ",2011,44667095,8
"2318","Michael Polish","Moonrise KingdomåÊ",2012,45507053,7.8
"2322","Michael Pressman","Pan's LabyrinthåÊ",2006,37623143,8.2
"2328","Michael Schultz","Hot FuzzåÊ",2007,23618786,7.9
"2330","Michael Sucsy","Vicky Cristina BarcelonaåÊ",2008,23213577,7.2
"2332","Michael Tiddes","White OleanderåÊ",2002,16346122,7.2
"2335","Michael Wadleigh","Radio DaysåÊ",1987,14792779,7.6
"2337","Michael Winterbottom","Remember MeåÊ",2010,19057024,7.2
"2340","Michael Winterbottom","PhiladelphiaåÊ",1993,77324422,7.7
"2345","Michel Gondry","HighlanderåÊ",1986,5900000,7.2
"2346","Michel Hazanavicius","Things We Lost in the FireåÊ",2007,2849142,7.2
"2353","Miguel Arteta","Enter the VoidåÊ",2009,336467,7.3
"2360","Mikael HÌ´fstrÌ¦m","Beverly Hills CopåÊ",1984,234760500,7.3
"2361","Mikael Salomon","Home AloneåÊ",1990,285761243,7.5
"2363","Mike Binder","TootsieåÊ",1982,177200000,7.4
"2365","Mike Binder","Crouching Tiger, Hidden DragonåÊ",2000,128067808,7.9
"2366","Mike Bruce","American BeautyåÊ",1999,130058047,8.4
"2367","Mike Cahill","The King's SpeechåÊ",2010,138795342,8
"2370","Mike Figgis","The Color PurpleåÊ",1985,94175854,7.8
"2371","Mike Flanagan","The Imitation GameåÊ",2014,91121452,8.1
"2375","Mike Judge","HalloweenåÊ",1978,47000000,7.9
"2376","Mike Leigh","National Lampoon's VacationåÊ",1983,61400000,7.4
"2378","Mike Leigh","The QueenåÊ",2006,56437947,7.3
"2379","Mike Leigh","BeetlejuiceåÊ",1988,73326666,7.5
"2381","Mike Marvin","Little WomenåÊ",1994,50003300,7.3
"2385","Mike Mitchell","Wag the DogåÊ",1997,43022524,7.1
"2392","Mike Newell","End of WatchåÊ",2012,40983001,7.7
"2395","Mike Newell","The Theory of EverythingåÊ",2014,35887263,7.7
"2398","Mike Nichols","Lawrence of ArabiaåÊ",1962,6000000,8.4
"2400","Mike Nichols","WildåÊ",2014,37877959,7.1
"2405","Milos Forman","The Princess BrideåÊ",1987,30857814,8.1
"2406","Milos Forman","The Great DebatersåÊ",2007,30226144,7.6
"2407","Mimi Leder","DriveåÊ",2011,35054909,7.8
"2413","Mira Nair","Love & BasketballåÊ",2000,27441122,7.2
"2414","Miranda July","Grosse Pointe BlankåÊ",1997,28014536,7.4
"2418","Morgan Neville","Match PointåÊ",2005,23089926,7.7
"2420","Morgan Spurlock","The Remains of the DayåÊ",1993,22954968,7.9
"2421","Mort Nathan","Boogie NightsåÊ",1997,26384919,7.9
"2431","Nancy Meyers","The Place Beyond the PinesåÊ",2012,21383298,7.3
"2434","Nat Faxon","The Hurt LockeråÊ",2008,15700000,7.6
"2452","Neil LaBute","BrazilåÊ",1985,9929000,8
"2454","Neil Marshall","The Big LebowskiåÊ",1998,17439163,8.2
"2462","Nicholas Hytner","In BrugesåÊ",2008,7757130,8
"2467","Nicholas Stoller","Whatever WorksåÊ",2009,5306447,7.2
"2469","Nicholas Stoller","Three BurialsåÊ",2005,5023275,7.5
"2471","Nick Cassavetes","Kiss Kiss Bang BangåÊ",2005,4235837,7.6
"2473","Nick Cassavetes","Mulholland DriveåÊ",2001,7219578,8
"2475","Nick Gomez","Never Let Me GoåÊ",2010,2412045,7.2
"2480","Nicolas Winding Refn","MetropolisåÊ",1927,26435,8.3
"2481","Nicolas Winding Refn","District B13åÊ",2004,1197786,7.2
"2490","Niki Caro","Groundhog DayåÊ",1993,70906973,8.1
"2493","Nima Nourizadeh","Sarah's KeyåÊ",2010,7691700,7.5
"2494","NimrÌ_d Antal","UnforgivenåÊ",1992,101157447,8.3
"2495","NimrÌ_d Antal","ManderlayåÊ",2005,74205,7.4
"2496","Nnegest LikkÌ©","Slumdog MillionaireåÊ",2008,141319195,8
"2500","Noam Murro","Born on the Fourth of JulyåÊ",1989,70001698,7.2
"2505","Norman Ferguson","The Spy Who Loved MeåÊ",1977,46800000,7.1
"2507","Norman Jewison","Dangerous LiaisonsåÊ",1988,34700000,7.7
"2528","Oliver Stone","Little ChildrenåÊ",2006,5459824,7.6
"2536","Olivier Megaton","Amen.åÊ",2002,274299,7.3
"2539","Oren Moverman","FlippedåÊ",2010,1752214,7.7
"2540","Oren Peli","Brokeback MountainåÊ",2005,83025853,7.7
"2543","Panos Cosmatos","Far from HeavenåÊ",2002,15854988,7.4
"2545","Pascal Arnold","QuillsåÊ",2000,7060876,7.4
"2546","Pat O'Connor","Seven PsychopathsåÊ",2012,14989761,7.2
"2547","Patrice Leconte","DownfallåÊ",2004,5501940,8.3
"2548","Patricia Cardoso","The Sea InsideåÊ",2004,2086345,8.1
"2549","Patricia Riggen","Good Morning, VietnamåÊ",1987,123922370,7.3
"2552","Patrick Gilmore","Black SwanåÊ",2010,106952327,8
"2554","Patrick Lussier","The Godfather: Part IIåÊ",1974,57300000,9
"2560","Patrick Tatopoulos","St. VincentåÊ",2014,44134898,7.3
"2562","Paul Abascal","10 Things I Hate About YouåÊ",1999,38176108,7.2
"2566","Paul Feig","The Butterfly EffectåÊ",2004,23947,7.7
"2574","Paul Greengrass","The MiståÊ",2007,25592632,7.2
"2575","Paul Greengrass","Ex MachinaåÊ",2015,25440971,7.7
"2576","Paul Greengrass","Being John MalkovichåÊ",1999,22858926,7.8
"2580","Paul Haggis","Letters from Iwo JimaåÊ",2006,13753931,7.9
"2582","Paul Hunter","RoomåÊ",2015,14677654,8.3
"2591","Paul McGuigan","Paris, je t'aimeåÊ",2006,4857376,7.3
"2594","Paul Schrader","The Widow of Saint-PierreåÊ",2000,3058380,7.3
"2597","Paul Thomas Anderson","BrothersåÊ",2009,28501651,7.1
"2598","Paul Thomas Anderson","Find Me GuiltyåÊ",2006,1172769,7.1
"2599","Paul Thomas Anderson","The Perks of Being a WallfloweråÊ",2012,17738570,8
"2601","Paul Thomas Anderson","InfamousåÊ",2006,1150403,7.1
"2609","Paul W.S. Anderson","Antwone FisheråÊ",2002,21078145,7.3
"2611","Paul W.S. Anderson","True RomanceåÊ",1993,12281500,8
"2612","Paul W.S. Anderson","Glengarry Glen RossåÊ",1992,10725228,7.8
"2615","Paul W.S. Anderson","Lars and the Real GirlåÊ",2007,5949693,7.4
"2616","Paul W.S. Anderson","The Boy in the Striped PajamasåÊ",2008,9030581,7.8
"2617","Paul W.S. Anderson","Dancer in the DarkåÊ",2000,4157491,8
"2623","Paul Weitz","The Land Before TimeåÊ",1988,48092846,7.3
"2624","Paul Weitz","Tae Guk Gi: The Brotherhood of WaråÊ",2004,1110186,8.1
"2626","Pawel Pawlikowski","The ExorciståÊ",1973,204565000,8
"2627","Penelope Spheeris","JawsåÊ",1975,260000000,8
"2629","Penny Marshall","Ernest & CelestineåÊ",2012,71442,7.9
"2633","Pete Docter","Star Trek II: The Wrath of KhanåÊ",1982,78900000,7.7
"2635","Pete Docter","WarGamesåÊ",1983,79568000,7.1
"2636","Pete Jones","WitnessåÊ",1985,65500000,7.4
"2640","Peter Atencio","Jackie BrownåÊ",1997,39647595,7.5
"2642","Peter Berg","ChronicleåÊ",2012,64572496,7.1
"2652","Peter Cattaneo","The Muppet Christmas CarolåÊ",1992,27281507,7.7
"2653","Peter Cattaneo","Casino RoyaleåÊ",2006,167007184,8
"2654","Peter Chelsom","FridaåÊ",2002,25776062,7.4
"2656","Peter Chelsom","The Fault in Our StarsåÊ",2014,124868837,7.8
"2657","Peter Chelsom","RoundersåÊ",1998,22905674,7.4
"2660","Peter Hastings","PhilomenaåÊ",2013,37707719,7.6
"2664","Peter Hewitt","NebraskaåÊ",2013,17613460,7.8
"2670","Peter Howitt","Das BootåÊ",1981,11433134,8.4
"2673","Peter Hyams","About TimeåÊ",2013,15294553,7.8
"2674","Peter Hyams","House of Flying DaggersåÊ",2004,11041228,7.6
"2686","Peter Jackson","Two LoversåÊ",2008,3148482,7.1
"2689","Peter Kosminsky","RavenousåÊ",1999,2060953,7.1
"2691","Peter Lepeniotis","The Great BeautyåÊ",2013,2835886,7.7
"2692","Peter Lord","The Dangerous Lives of Altar BoysåÊ",2002,1779284,7.1
"2694","Peter M. Cohen","2046åÊ",2004,261481,7.5
"2696","Peter Medak","DumaåÊ",2005,860002,7.3
"2698","Peter Ramsey","BrotheråÊ",2000,447750,7.2
"2702","Peter Segal","TradeåÊ",2007,214202,7.5
"2703","Peter Segal","FatelessåÊ",2005,195888,7.1
"2705","Peter Segal","City of Life and DeathåÊ",2009,119922,7.7
"2708","Peter Sollett","10 Days in a MadhouseåÊ",2015,14616,7.5
"2709","Peter Stebbings","SnatchåÊ",2000,30093107,8.3
"2711","Peter Weir","MadadayoåÊ",1993,48856,7.5
"2712","Peter Weir","GremlinsåÊ",1984,148170000,7.2
"2713","Peter Weir","Star Wars: Episode IV - A New HopeåÊ",1977,460935665,8.7
"2715","Petter NÌ_ss","Doctor ZhivagoåÊ",1965,111722000,8
"2717","Peyton Reed","The FighteråÊ",2010,93571803,7.9
"2718","Peyton Reed","My Cousin VinnyåÊ",1992,52929168,7.5
"2720","Phil Alden Robinson","Major LeagueåÊ",1989,49797148,7.2
"2721","Phil Joanou","Phone BoothåÊ",2002,46563158,7.1
"2722","Phil Lord","A Walk to RememberåÊ",2002,41227069,7.4
"2723","Phil Lord","Dead Man WalkingåÊ",1995,39025000,7.6
"2726","Phil Traill","The Secret Life of BeesåÊ",2008,37766350,7.3
"2730","Philip Saville","BrooklynåÊ",2015,38317535,7.5
"2735","Phillip Noyce","FrailtyåÊ",2001,13103828,7.3
"2736","Phillip Noyce","Woman in GoldåÊ",2015,33305037,7.3
"2737","Phillip Noyce","KinseyåÊ",2004,10214647,7.1
"2738","Phillip Noyce","Army of DarknessåÊ",1992,11501093,7.6
"2740","Phyllida Lloyd","What's Eating Gilbert GrapeåÊ",1993,9170214,7.8
"2741","Phyllida Lloyd","The Visual Bible: The Gospel of JohnåÊ",2003,4068087,7.7
"2742","Pierre Coffin","Vera DrakeåÊ",2004,3753806,7.7
"2745","Pierre Morel","Inside Llewyn DavisåÊ",2013,13214255,7.4
"2749","Piyush Dinker Pandya","PoltergeiståÊ",1982,76600000,7.4
"2756","Quentin Tarantino","2001: A Space OdysseyåÊ",1968,56715371,8.3
