"","Actor","Score","Title","Keyword1","Keyword2","Keyword3","Keyword4","Keyword5","Year","Gross"
"258","Robert Downey Jr.",7,"Charlie Bartlett","drugs","high school","prescription drugs","private school","student",2007,3950294
"259","Jason Statham",8.3,"Snatch","boxer","boxing","diamond","fight","gypsy",2000,30093107
"260","Harrison Ford",8.7,"Star Wars: Episode IV - A New Hope","death star","empire","galactic war","princess","rebellion",1977,460935665
"261","Christian Bale",7.9,"The Fighter","boxer","boxing","boxing match","crack cocaine","lowell massachusetts",2010,93571803
"262","Matthew McConaughey",7.3,"Frailty","demon","fbi","fbi agent","murder","religious fanatic",2001,13103828
"263","Liam Neeson",7.1,"Kinsey","professor","research","sex","sexuality","student",2004,10214647
"264","Johnny Depp",7.8,"What's Eating Gilbert Grape","apostrophe in title","face slap","four word title","grocery store","police",1993,9170214
"265","Robin Williams",8.3,"Good Will Hunting","friend","genius","janitor","loss of wife","professor",1997,138339411
"266","Tom Cruise",7,"The Color of Money","hustler","losing","pool","pool player","tournament",1986,52293982
"267","Jason Statham",8.3,"Snatch","boxer","boxing","diamond","fight","gypsy",2000,30093107
"268","Matt Damon",7.4,"Dogma","abortion","abortion clinic","angel","church","clinic",1999,30651422
"269","Tom Cruise",7.2,"The Outsiders","dysfunctional family","gang","greaser","holding someone's head underwater","rivalry",1983,25600000
"270","Bill Murray",7.7,"Rushmore","coming of age","friendship","private school","student","teacher",1998,17096053
"271","Matthew McConaughey",7.4,"Mud","14 year old","boat","bounty hunter","boy","river",2012,21589307
"272","Christian Bale",7.3,"Rescue Dawn","bombing","guard","jungle","laos","prisoner",2006,5484375
"273","Philip Seymour Hoffman",7.2,"Owning Mahowny","bank","bank fraud","bank manager","gambling","toronto",2003,1011054
"274","Robert Downey Jr.",7.5,"Richard III","1930s","abuse of power","england","king","murder",1995,2600000
"275","Philip Seymour Hoffman",7.2,"The Savages","arizona","dementia","married man","sun city arizona","writing",2007,6610326
"276","Christian Bale",7,"Velvet Goldmine","1970s","glitter","political cover up","reference to katharine hepburn","reference to spencer tracy",1998,1043487
"277","Bruce Willis",8.9,"Pulp Fiction","black comedy","cunnilingus","neo noir","nonlinear timeline","postmodern",1994,107930000
"278","Keanu Reeves",7.4,"Much Ado About Nothing","16th century","bachelor","dishonor","masquerade party","wedding",1993,22551000
"279","Matt Damon",7,"Syriana","cia","hezbollah","lebanon","oil","prince",2005,50815288
"280","Christian Bale",7.6,"American Psycho","1980s","business card","male rear nudity","materialism","narcissism",2000,15047419
"281","Anthony Hopkins",7.5,"Howards End","england","friendship","prejudice","upper class","working class",1992,25967000
"282","Morgan Freeman",7.4,"Driving Miss Daisy","1950s","african american","jewish","old age","widow",1989,106593296
"283","J.K. Simmons",7.6,"Thank You for Smoking","cigarette smoking","lobbyist","political satire","reporter","tobacco industry",2005,24792061
"284","Keanu Reeves",7,"The Neon Demon","beauty","cannibalism","fashion","lesbian","model",2016,1330827
"285","J.K. Simmons",7.5,"Juno","adoption","baby","friend","pregnancy","school",2007,143492840
"286","Leonardo DiCaprio",7.3,"The Great Gatsby","ingratitude","mansion","party","title appears in writing","tragedy",2013,144812796
"287","Robert Downey Jr.",7.5,"Good Night, and Good Luck.","cbs","expose","fear","paranoia","reporter",2005,31501218
"288","Philip Seymour Hoffman",7.4,"Capote","book","holcomb kansas","kansas","killer","truman capote",2005,28747570
"289","Bill Murray",7.5,"Michael Jordan to the Max","basketball","basketball player","character name in title","chicago bulls","imax",2000,18642318
"290","Bill Murray",7.1,"Get Low","funeral","funeral home","hermit","party","secret",2009,9176553
"291","Steve Buscemi",7.2,"The Messenger","captain","casualty notification","casualty notification team","sergeant","staff sergeant",2009,66637
"292","Johnny Depp",8.1,"Platoon","1960s","famous score","hero","vietnam","vietnam war",1986,137963328
"293","Bill Murray",7.4,"Caddyshack","caddy","country club","golf course","gopher","nudity",1980,39800000
"294","Kevin Spacey",8.6,"The Usual Suspects","criminal","dirty cop","flashback","limping","suspect",1995,23272306
"295","J.K. Simmons",7.1,"The Words","american in paris","book","love","novel","writer",2012,11434867
"296","Scarlett Johansson",7.4,"Ghost World","art class","diner","friend","graduation","high school",2001,6200756
"297","Matthew McConaughey",8,"Dallas Buyers Club","drugs","fda","gay community","hiv","homophobia",2013,27296514
"298","Matthew McConaughey",7.6,"Lone Star","father son relationship","interracial relationship","neo western","sheriff","texas",1996,13269963
"299","Kevin Spacey",7.9,"Moon","computer","contract","earth","moon","solitude",2009,5009677
"300","Christian Bale",7.7,"The Machinist","alienation","conscience","insomnia","paranoia","urban gothic",2004,1082044
"301","Gerard Butler",7.8,"Dear Frankie","boy","dock","letter","seaside","stranger",2004,1340891
"302","Philip Seymour Hoffman",7.7,"25th Hour","bar","dream","drug dealing","nightclub","widower",2002,13060843
"303","Scarlett Johansson",7.8,"Lost in Translation","fish out of water","japanese","loneliness","older man younger woman relationship","unlikely friendship",2003,44566004
"304","Nicolas Cage",7.6,"Leaving Las Vegas","alcoholic","bar","love","prostitute","sex",1995,31968347
"305","Morgan Freeman",7.6,"March of the Penguins","chick","emperor penguin","journey","ocean","penguin",2005,77413017
"306","Kevin Spacey",7.1,"Margin Call","capital management","financial crisis","financial disaster","investment fraud","management",2011,5354039
"307","J.K. Simmons",8.5,"Whiplash","conservatory","drummer","emotional abuse","music school","obsession",2014,13092000
"308","Matthew McConaughey",7.1,"Thirteen Conversations About One Thing","attorney","happiness","house cleaner","physics","professor",2001,3287435
"309","Philip Seymour Hoffman",7.8,"Happiness","ensemble cast","episodic structure","satire","social satire","suburb",1998,3000000
"310","Keanu Reeves",7.1,"My Own Private Idaho","friend","hustler","italy","narcolepsy","traveling",1991,6401336
"311","Matt Damon",8.3,"Inside Job","florida","iceland","interview","new york city new york","recession",2010,4311834
"312","J.K. Simmons",7,"Harsh Times","blood splatter","friend","lapd","mexican","violence",2005,3335839
"313","Robin Williams",7,"House of D","artist","butchery","catholic","catholic school","friend",2004,371081
"314","Keanu Reeves",7.1,"River's Edge","death","friend","high school","murder","police",1986,4600000
"315","Johnny Depp",7.5,"A Nightmare on Elm Street","freddy krueger","lucid dream","serial killer","slasher","sleep deprivation",1984,26505000
"316","Tom Cruise",7,"Jack Reacher","coma","mysterious villain","police chase","shooting range","sniper",2012,80033643
"317","Jason Statham",8.2,"Lock, Stock and Two Smoking Barrels","antique","cockney accent","hatchet","money","shotgun",1998,3650677
"318","Steve Buscemi",7.2,"Trees Lounge","alcoholic drink","bar","drink","drinking","drunk",1996,695229
"319","Bruce Willis",7.8,"Lucky Number Slevin","coroner","death","gay son","love","mistaken identity",2006,22494487
"320","Sylvester Stallone",8.1,"Rocky","boxer","hometown hero","philadelphia pennsylvania","protective male","training",1976,117235247
"321","J.K. Simmons",7.5,"Juno","adoption","baby","friend","pregnancy","school",2007,143492840
"322","Harrison Ford",7.5,"American Graffiti","california","car","drag racing","high school","rock 'n' roll",1973,115000000
"323","Matt Damon",7.3,"Chasing Amy","comic book","friendship","gay","lesbian","secret",1997,12006514
